Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Type;N;Mean;Error;StdDev;Median;Gen 0;Gen 1;Gen 2;Allocated
Contains;.NET 5.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"69,823.77 ns";457.964 ns;405.973 ns;"69,768.35 ns";0.0000;0.0000;0.0000;0 B
Exists;.NET 5.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"78,844.61 ns";680.968 ns;636.978 ns;"78,858.72 ns";0.0000;0.0000;0.0000;88 B
Any;.NET 6.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"140,763.48 ns";"1,054.560 ns";880.605 ns;"140,942.59 ns";0.0000;0.0000;0.0000;128 B
Contains;.NET 6.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"70,658.46 ns";813.600 ns;721.235 ns;"70,631.31 ns";0.0000;0.0000;0.0000;0 B
Exists;.NET 6.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"79,813.81 ns";501.750 ns;469.337 ns;"79,682.61 ns";0.0000;0.0000;0.0000;88 B
Any;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"150,348.82 ns";"1,791.063 ns";"1,675.361 ns";"149,715.62 ns";0.0000;0.0000;0.0000;128 B
Contains;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"66,738.75 ns";652.861 ns;578.744 ns;"66,645.23 ns";0.0000;0.0000;0.0000;0 B
Exists;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;10000;"76,049.92 ns";676.491 ns;632.790 ns;"75,727.76 ns";0.0000;0.0000;0.0000;88 B
Any;.NET 5.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"3,911,894.05 ns";"26,284.932 ns";"21,949.109 ns";"3,915,730.47 ns";0.0000;0.0000;0.0000;128 B
Contains;.NET 5.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"2,463,170.90 ns";"20,953.162 ns";"18,574.433 ns";"2,459,449.61 ns";0.0000;0.0000;0.0000;0 B
Exists;.NET 5.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"2,583,132.51 ns";"50,457.143 ns";"63,812.130 ns";"2,548,226.17 ns";0.0000;0.0000;0.0000;88 B
Any;.NET 6.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"4,042,020.93 ns";"73,405.880 ns";"65,072.401 ns";"4,061,818.75 ns";0.0000;0.0000;0.0000;128 B
Contains;.NET 6.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"2,542,479.45 ns";"50,547.818 ns";"69,190.424 ns";"2,526,505.47 ns";0.0000;0.0000;0.0000;0 B
Exists;.NET 6.0;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"2,800,445.50 ns";"54,602.840 ns";"80,036.135 ns";"2,812,802.73 ns";0.0000;0.0000;0.0000;88 B
Any;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"4,402,669.61 ns";"87,814.871 ns";"251,957.326 ns";"4,382,217.58 ns";0.0000;0.0000;0.0000;128 B
Contains;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"2,215,923.45 ns";"62,271.784 ns";"175,638.670 ns";"2,120,840.23 ns";0.0000;0.0000;0.0000;0 B
Exists;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Record;1000000;"2,770,223.96 ns";"54,690.783 ns";"94,338.914 ns";"2,754,053.32 ns";0.0000;0.0000;0.0000;88 B
